證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2317   	鴻海         	20170821	  114.50	  115.00	  114.00	  115.00	    18950	     2171904
2330   	台積電       	20170821	  212.50	  213.00	  211.50	  211.50	    13847	     2934064
2412   	中華電       	20170821	  103.00	  103.00	  102.50	  102.50	     2557	      262715
Y9999  	加權指數     	20170821	10316.09	10336.37	10282.72	10326.39	  4578949	    86463292
2317   	鴻海         	20170822	  115.50	  116.00	  115.00	  115.00	    18866	     2178498
2330   	台積電       	20170822	  213.50	  214.50	  213.00	  214.50	    17330	     3710809
2412   	中華電       	20170822	  103.00	  103.00	  102.50	  103.00	     4132	      425011
Y9999  	加權指數     	20170822	10353.37	10410.47	10353.37	10392.07	  5549157	   110914846
2317   	鴻海         	20170823	  115.50	  116.50	  115.00	  115.00	    30660	     3551398
2330   	台積電       	20170823	  215.50	  216.00	  214.00	  215.50	    11757	     2531926
2412   	中華電       	20170823	  103.00	  103.00	  102.50	  103.00	     6840	      703112
Y9999  	加權指數     	20170823	10418.32	10458.91	10378.01	10406.81	  5641405	   117047625
2317   	鴻海         	20170824	  115.00	  116.00	  115.00	  116.00	    27856	     3216151
2330   	台積電       	20170824	  216.00	  217.00	  215.50	  217.00	    15426	     3341510
2412   	中華電       	20170824	  103.00	  103.00	  102.50	  103.00	     6042	      621494
Y9999  	加權指數     	20170824	10414.66	10488.96	10410.73	10488.96	  5808139	   117767099
2317   	鴻海         	20170825	  116.00	  116.50	  115.50	  116.00	    20841	     2417589
2330   	台積電       	20170825	  217.50	  217.50	  216.00	  217.50	    10975	     2384766
2412   	中華電       	20170825	  103.00	  103.50	  102.50	  103.50	     5131	      529779
Y9999  	加權指數     	20170825	10497.86	10519.84	10478.72	10515.51	  6024909	   121552932
2317   	鴻海         	20170828	  116.50	  116.50	  115.00	  115.50	    19889	     2302005
2330   	台積電       	20170828	  215.00	  216.50	  215.00	  216.00	    16512	     3564102
2412   	中華電       	20170828	  103.50	  104.00	  103.50	  104.00	     7491	      777706
Y9999  	加權指數     	20170828	10502.80	10542.37	10498.88	10525.98	  5890372	   114730302
2317   	鴻海         	20170829	  115.00	  115.50	  115.00	  115.50	    17096	     1969472
2330   	台積電       	20170829	  216.00	  216.00	  215.00	  216.00	    16561	     3569385
2412   	中華電       	20170829	  104.00	  104.00	  103.50	  104.00	     5878	      610220
Y9999  	加權指數     	20170829	10518.69	10518.69	10463.22	10496.57	  5814380	   108694251
2317   	鴻海         	20170830	  116.00	  117.50	  116.00	  117.50	    34362	     4011509
2330   	台積電       	20170830	  216.00	  218.00	  216.00	  217.50	    19674	     4274683
2412   	中華電       	20170830	  104.00	  104.50	  104.00	  104.50	     6455	      672693
Y9999  	加權指數     	20170830	10511.59	10574.53	10511.59	10569.40	  5901288	   121497579
2317   	鴻海         	20170831	  118.50	  119.00	  117.00	  117.50	    34282	     4039750
2330   	台積電       	20170831	  217.50	  218.00	  215.50	  216.50	    26945	     5837056
2412   	中華電       	20170831	  104.50	  105.00	  104.00	  105.00	    10963	     1145202
Y9999  	加權指數     	20170831	10586.65	10609.48	10551.95	10585.78	  5945548	   129488500
